document_id,document_title,document_date,document_text,authentic
54001001,,,"Paul, an apostle of Jesus Christ by the commandment of God our Saviour, and Lord Jesus Christ, which is our hope;",0.218636631965637
54001002,,,"Unto Timothy, my own son in the faith: Grace, mercy, and peace, from God our Father and Jesus Christ our Lord.",0.0139539912343025
54001003,,,"As I besought thee to abide still at Ephesus, when I went into Macedonia, that thou mightest charge some that they teach no other doctrine,",0.994953453540802
54001004,,,"Neither give heed to fables and endless genealogies, which minister questions, rather than godly edifying which is in faith: so do.",0.933469116687775
54001005,,,"Now the end of the commandment is charity out of a pure heart, and of a good conscience, and of faith unfeigned:",0.954795479774475
54001006,,,From which some having swerved have turned aside unto vain jangling;,0.053904015570879
54001007,,,"Desiring to be teachers of the law; understanding neither what they say, nor whereof they affirm.",0.993713676929474
54001008,,,"But we know that the law is good, if a man use it lawfully;",0.98121851682663
54001009,,,"Knowing this, that the law is not made for a righteous man, but for the lawless and disobedient, for the ungodly and for sinners, for unholy and profane, for murderers of fathers and murderers of mothers, for manslayers,",0.985327482223511
54001010,,,"For whoremongers, for them that defile themselves with mankind, for menstealers, for liars, for perjured persons, and if there be any other thing that is contrary to sound doctrine;",0.784507095813751
54001011,,,"According to the glorious gospel of the blessed God, which was committed to my trust.",0.991996467113495
54001012,,,"And I thank Christ Jesus our Lord, who hath enabled me, for that he counted me faithful, putting me into the ministry;",0.995317220687866
54001013,,,"Who was before a blasphemer, and a persecutor, and injurious: but I obtained mercy, because I did it ignorantly in unbelief.",0.924626886844635
54001014,,,And the grace of our Lord was exceeding abundant with faith and love which is in Christ Jesus.,0.995299816131592
54001015,,,"This is a faithful saying, and worthy of all acceptation, that Christ Jesus came into the world to save sinners; of whom I am chief.",0.990961253643036
54001016,,,"Howbeit for this cause I obtained mercy, that in me first Jesus Christ might shew forth all longsuffering, for a pattern to them which should hereafter believe on him to life everlasting.",0.0377178825438023
54001017,,,"Now unto the King eternal, immortal, invisible, the only wise God, be honour and glory for ever and ever. Amen.",0.0741897001862526
