id,document_text,authenticity_score
54001001,"Paul, an apostle of Jesus Christ by the commandment of God our Saviour, and Lord Jesus Christ, which is our hope;",0.981797099
54001002,"Unto Timothy, my own son in the faith: Grace, mercy, and peace, from God our Father and Jesus Christ our Lord.",0.988151073
54001003,"As I besought thee to abide still at Ephesus, when I went into Macedonia, that thou mightest charge some that they teach no other doctrine,",0.982668221
54001004,"Neither give heed to fables and endless genealogies, which minister questions, rather than godly edifying which is in faith: so do.",0.840252578
54001005,"Now the end of the commandment is charity out of a pure heart, and of a good conscience, and of faith unfeigned:",0.987846553
54001006,From which some having swerved have turned aside unto vain jangling;,0.310840338
54001007,"Desiring to be teachers of the law; understanding neither what they say, nor whereof they affirm.",0.968480051
54001008,"But we know that the law is good, if a man use it lawfully;",0.900303364
54001009,"Knowing this, that the law is not made for a righteous man, but for the lawless and disobedient, for the ungodly and for sinners, for unholy and profane, for murderers of fathers and murderers of mothers, for manslayers,",0.961133182
54001010,"For whoremongers, for them that defile themselves with mankind, for menstealers, for liars, for perjured persons, and if there be any other thing that is contrary to sound doctrine;",0.983626187
54001011,"According to the glorious gospel of the blessed God, which was committed to my trust.",0.988650441
54001012,"And I thank Christ Jesus our Lord, who hath enabled me, for that he counted me faithful, putting me into the ministry;",0.989673018
54001013,"Who was before a blasphemer, and a persecutor, and injurious: but I obtained mercy, because I did it ignorantly in unbelief.",0.966079235
54001014,And the grace of our Lord was exceeding abundant with faith and love which is in Christ Jesus.,0.982900798
54001015,"This is a faithful saying, and worthy of all acceptation, that Christ Jesus came into the world to save sinners; of whom I am chief.",0.959494948
54001016,"Howbeit for this cause I obtained mercy, that in me first Jesus Christ might shew forth all longsuffering, for a pattern to them which should hereafter believe on him to life everlasting.",0.990913868
54001017,"Now unto the King eternal, immortal, invisible, the only wise God, be honour and glory for ever and ever. Amen.",0.988796711
54001018,"This charge I commit unto thee, son Timothy, according to the prophecies which went before on thee, that thou by them mightest war a good warfare;",0.587750077
54001019,"Holding faith, and a good conscience; which some having put away concerning faith have made shipwreck:",0.787987113
54001020,"Of whom is Hymenaeus and Alexander; whom I have delivered unto Satan, that they may learn not to blaspheme.",0.933910549
54002001,"I exhort therefore, that, first of all, supplications, prayers, intercessions, and giving of thanks, be made for all men;",0.989517391
54002002,"For kings, and for all that are in authority; that we may lead a quiet and peaceable life in all godliness and honesty.",0.973643005
54002003,For this is good and acceptable in the sight of God our Saviour;,0.957459569
54002004,"Who will have all men to be saved, and to come unto the knowledge of the truth.",0.973140121
54002005,"For there is one God, and one mediator between God and men, the man Christ Jesus;",0.9903391
54002006,"Who gave himself a ransom for all, to be testified in due time.",0.970566392
54002007,"Whereunto I am ordained a preacher, and an apostle, (I speak the truth in Christ, and lie not;) a teacher of the Gentiles in faith and verity.",0.989474654
54002008,"I will therefore that men pray every where, lifting up holy hands, without wrath and doubting.",0.979284644
54002009,"In like manner also, that women adorn themselves in modest apparel, with shamefacedness and sobriety; not with broided hair, or gold, or pearls, or costly array;",0.96752876
54002010,But (which becometh women professing godliness) with good works.,0.989770889
54002011,Let the woman learn in silence with all subjection.,0.980879843
54002012,"But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence.",0.991806865
54002013,"For Adam was first formed, then Eve.",0.98935926
54002014,"And Adam was not deceived, but the woman being deceived was in the transgression.",0.989036024
54002015,"Notwithstanding she shall be saved in childbearing, if they continue in faith and charity and holiness with sobriety.",0.982030094
54003001,"This is a true saying, If a man desire the office of a bishop, he desireth a good work.",0.090994351
54003002,"A bishop then must be blameless, the husband of one wife, vigilant, sober, of good behaviour, given to hospitality, apt to teach;",0.972979188
54003003,"Not given to wine, no striker, not greedy of filthy lucre; but patient, not a brawler, not covetous;",0.985075474
54003004,"One that ruleth well his own house, having his children in subjection with all gravity;",0.27122587
54003005,"(For if a man know not how to rule his own house, how shall he take care of the church of God?)",0.990133584
54003006,"Not a novice, lest being lifted up with pride he fall into the condemnation of the devil.",0.175926656
54003007,Moreover he must have a good report of them which are without; lest he fall into reproach and the snare of the devil.,0.983808696
54003008,"Likewise must the deacons be grave, not doubletongued, not given to much wine, not greedy of filthy lucre;",0.990020275
54003009,Holding the mystery of the faith in a pure conscience.,0.934956968
54003010,"And let these also first be proved; then let them use the office of a deacon, being found blameless.",0.990558863
54003011,"Even so must their wives be grave, not slanderers, sober, faithful in all things.",0.983731627
54003012,"Let the deacons be the husbands of one wife, ruling their children and their own houses well.",0.95049578
54003013,"For they that have used the office of a deacon well purchase to themselves a good degree, and great boldness in the faith which is in Christ Jesus.",0.986464381
54003014,"These things write I unto thee, hoping to come unto thee shortly:",0.018924717
54003015,"But if I tarry long, that thou mayest know how thou oughtest to behave thyself in the house of God, which is the church of the living God, the pillar and ground of the truth.",0.981568813
54003016,"And without controversy great is the mystery of godliness: God was manifest in the flesh, justified in the Spirit, seen of angels, preached unto the Gentiles, believed on in the world, received up into glory.",0.514833272
54004001,"Now the Spirit speaketh expressly, that in the latter times some shall depart from the faith, giving heed to seducing spirits, and doctrines of devils;",0.988728404
54004002,Speaking lies in hypocrisy; having their conscience seared with a hot iron;,0.837715149
54004003,"Forbidding to marry, and commanding to abstain from meats, which God hath created to be received with thanksgiving of them which believe and know the truth.",0.940084398
54004004,"For every creature of God is good, and nothing to be refused, if it be received with thanksgiving:",0.989574134
54004005,For it is sanctified by the word of God and prayer.,0.990435004
54004006,"If thou put the brethren in remembrance of these things, thou shalt be a good minister of Jesus Christ, nourished up in the words of faith and of good doctrine, whereunto thou hast attained.",0.793733835
54004007,"But refuse profane and old wives' fables, and exercise thyself rather unto godliness.",0.027975915
54004008,"For bodily exercise profiteth little: but godliness is profitable unto all things, having promise of the life that now is, and of that which is to come.",0.032051526
54004009,This is a faithful saying and worthy of all acceptation.,0.10443151
54004010,"For therefore we both labour and suffer reproach, because we trust in the living God, who is the Saviour of all men, specially of those that believe.",0.98859477
54004011,These things command and teach.,0.025457621
54004012,"Let no man despise thy youth; but be thou an example of the believers, in word, in conversation, in charity, in spirit, in faith, in purity.",0.977106631
54004013,"Till I come, give attendance to reading, to exhortation, to doctrine.",0.990362942
54004014,"Neglect not the gift that is in thee, which was given thee by prophecy, with the laying on of the hands of the presbytery.",0.032351483
54004015,Meditate upon these things; give thyself wholly to them; that thy profiting may appear to all.,0.947384655
54004016,"Take heed unto thyself, and unto the doctrine; continue in them: for in doing this thou shalt both save thyself, and them that hear thee.",0.843587816
54005001,"Rebuke not an elder, but intreat him as a father; and the younger men as brethren;",0.989877641
54005002,"The elder women as mothers; the younger as sisters, with all purity.",0.979813099
54005003,Honour widows that are widows indeed.,0.98751837
54005004,"But if any widow have children or nephews, let them learn first to shew piety at home, and to requite their parents: for that is good and acceptable before God.",0.989645123
54005005,"Now she that is a widow indeed, and desolate, trusteth in God, and continueth in supplications and prayers night and day.",0.97556746
54005006,But she that liveth in pleasure is dead while she liveth.,0.977454126
54005007,"And these things give in charge, that they may be blameless.",0.152618363
54005008,"But if any provide not for his own, and specially for those of his own house, he hath denied the faith, and is worse than an infidel.",0.98074466
54005009,"Let not a widow be taken into the number under threescore years old, having been the wife of one man.",0.973736763
54005010,"Well reported of for good works; if she have brought up children, if she have lodged strangers, if she have washed the saints' feet, if she have relieved the afflicted, if she have diligently followed every good work.",0.985211968
54005011,"But the younger widows refuse: for when they have begun to wax wanton against Christ, they will marry;",0.989617884
54005012,"Having damnation, because they have cast off their first faith.",0.889177322
54005013,"And withal they learn to be idle, wandering about from house to house; and not only idle, but tattlers also and busybodies, speaking things which they ought not.",0.172271281
54005014,"I will therefore that the younger women marry, bear children, guide the house, give none occasion to the adversary to speak reproachfully.",0.990136862
54005015,For some are already turned aside after Satan.,0.988107622
54005016,"If any man or woman that believeth have widows, let them relieve them, and let not the church be charged; that it may relieve them that are widows indeed.",0.990879238
54005017,"Let the elders that rule well be counted worthy of double honour, especially they who labour in the word and doctrine.",0.944570124
54005018,"For the scripture saith, Thou shalt not muzzle the ox that treadeth out the corn. And, The labourer is worthy of his reward.",0.98150152
54005019,"Against an elder receive not an accusation, but before two or three witnesses.",0.990355253
54005020,"Them that sin rebuke before all, that others also may fear.",0.951213241
54005021,"I charge thee before God, and the Lord Jesus Christ, and the elect angels, that thou observe these things without preferring one before another, doing nothing by partiality.",0.939966917
54005022,"Lay hands suddenly on no man, neither be partaker of other men's sins: keep thyself pure.",0.855475605
54005023,"Drink no longer water, but use a little wine for thy stomach's sake and thine often infirmities.",0.989015162
54005024,"Some men's sins are open beforehand, going before to judgment; and some men they follow after.",0.953933001
54005025,Likewise also the good works of some are manifest beforehand; and they that are otherwise cannot be hid.,0.987956226
54006001,"Let as many servants as are under the yoke count their own masters worthy of all honour, that the name of God and his doctrine be not blasphemed.",0.909123421
54006002,"And they that have believing masters, let them not despise them, because they are brethren; but rather do them service, because they are faithful and beloved, partakers of the benefit. These things teach and exhort.",0.035110649
54006003,"If any man teach otherwise, and consent not to wholesome words, even the words of our Lord Jesus Christ, and to the doctrine which is according to godliness;",0.9517802
54006004,"He is proud, knowing nothing, but doting about questions and strifes of words, whereof cometh envy, strife, railings, evil surmisings,",0.027843466
54006005,"Perverse disputings of men of corrupt minds, and destitute of the truth, supposing that gain is godliness: from such withdraw thyself.",0.026541572
54006006,But godliness with contentment is great gain.,0.906390429
54006007,"For we brought nothing into this world, and it is certain we can carry nothing out.",0.990501404
54006008,And having food and raiment let us be therewith content.,0.989263713
54006009,"But they that will be rich fall into temptation and a snare, and into many foolish and hurtful lusts, which drown men in destruction and perdition.",0.032573137
54006010,"For the love of money is the root of all evil: which while some coveted after, they have erred from the faith, and pierced themselves through with many sorrows.",0.021650957
54006011,"But thou, O man of God, flee these things; and follow after righteousness, godliness, faith, love, patience, meekness.",0.226620942
54006012,"Fight the good fight of faith, lay hold on eternal life, whereunto thou art also called, and hast professed a good profession before many witnesses.",0.200934246
54006013,"I give thee charge in the sight of God, who quickeneth all things, and before Christ Jesus, who before Pontius Pilate witnessed a good confession;",0.984522223
54006014,"That thou keep this commandment without spot, unrebukable, until the appearing of our Lord Jesus Christ:",0.730328798
54006015,"Which in his times he shall shew, who is the blessed and only Potentate, the King of kings, and Lord of lords;",0.826472402
54006016,"Who only hath immortality, dwelling in the light which no man can approach unto; whom no man hath seen, nor can see: to whom be honour and power everlasting. Amen.",0.932301581
54006017,"Charge them that are rich in this world, that they be not highminded, nor trust in uncertain riches, but in the living God, who giveth us richly all things to enjoy;",0.971097946
54006018,"That they do good, that they be rich in good works, ready to distribute, willing to communicate;",0.971317887
54006019,"Laying up in store for themselves a good foundation against the time to come, that they may lay hold on eternal life.",0.921413779
54006020,"O Timothy, keep that which is committed to thy trust, avoiding profane and vain babblings, and oppositions of science falsely so called:",0.057226241
54006021,Which some professing have erred concerning the faith. Grace be with thee. Amen.,0.85680151
55001001,"Paul, an apostle of Jesus Christ by the will of God, according to the promise of life which is in Christ Jesus,",0.971121848
55001002,"To Timothy, my dearly beloved son: Grace, mercy, and peace, from God the Father and Christ Jesus our Lord.",0.471403718
55001003,"I thank God, whom I serve from my forefathers with pure conscience, that without ceasing I have remembrance of thee in my prayers night and day;",0.963044167
55001004,"Greatly desiring to see thee, being mindful of thy tears, that I may be filled with joy;",0.970691502
55001005,"When I call to remembrance the unfeigned faith that is in thee, which dwelt first in thy grandmother Lois, and thy mother Eunice; and I am persuaded that in thee also.",0.88585943
