id,book,chapter,verse,text,authentic
45008014,Romans,8,14,"For as many as are led by the Spirit of God, they are the sons of God.",True
47006018,2 Corinthians,6,18,"And will be a Father unto you, and ye shall be my sons and daughters, saith the Lord Almighty.",True
48003010,Galatians,3,10,"For as many as are of the works of the law are under the curse: for it is written, Cursed is every one that continueth not in all things which are written in the book of the law to do them.",True
45011030,Romans,11,30,"For as ye in times past have not believed God, yet have now obtained mercy through their unbelief:",True
57001011,Philemon,1,11,"Which in time past was to thee unprofitable, but now profitable to thee and to me:",True
46008010,1 Corinthians,8,10,"For if any man see thee which hast knowledge sit at meat in the idol's temple, shall not the conscience of him which is weak be emboldened to eat those things which are offered to idols;",True
45014007,Romans,14,7,"For none of us liveth to himself, and no man dieth to himself.",True
48006014,Galatians,6,14,"But God forbid that I should glory, save in the cross of our Lord Jesus Christ, by whom the world is crucified unto me, and I unto the world.",True
46001028,1 Corinthians,1,28,"And base things of the world, and things which are despised, hath God chosen, yea, and things which are not, to bring to nought things that are:",True
45006008,Romans,6,8,"Now if we be dead with Christ, we believe that we shall also live with him:",True
45006005,Romans,6,5,"For if we have been planted together in the likeness of his death, we shall be also in the likeness of his resurrection:",True
46013004,1 Corinthians,13,4,"Charity suffereth long, and is kind; charity envieth not; charity vaunteth not itself, is not puffed up,",True
47010008,2 Corinthians,10,8,"For though I should boast somewhat more of our authority, which the Lord hath given us for edification, and not for your destruction, I should not be ashamed:",True
45002014,Romans,2,14,"For when the Gentiles, which have not the law, do by nature the things contained in the law, these, having not the law, are a law unto themselves:",True
46015052,1 Corinthians,15,52,"In a moment, in the twinkling of an eye, at the last trump: for the trumpet shall sound, and the dead shall be raised incorruptible, and we shall be changed.",True
50002015,Philippians,2,15,"That ye may be blameless and harmless, the sons of God, without rebuke, in the midst of a crooked and perverse nation, among whom ye shine as lights in the world;",True
46010031,1 Corinthians,10,31,"Whether therefore ye eat, or drink, or whatsoever ye do, do all to the glory of God.",True
46015015,1 Corinthians,15,15,"Yea, and we are found false witnesses of God; because we have testified of God that he raised up Christ: whom he raised not up, if so be that the dead rise not.",True
46014008,1 Corinthians,14,8,"For if the trumpet give an uncertain sound, who shall prepare himself to the battle?",True
47001001,2 Corinthians,1,1,"Paul, an apostle of Jesus Christ by the will of God, and Timothy our brother, unto the church of God which is at Corinth, with all the saints which are in all Achaia:",True
45003009,Romans,3,9,"What then? are we better than they? No, in no wise: for we have before proved both Jews and Gentiles, that they are all under sin;",True
45008019,Romans,8,19,For the earnest expectation of the creature waiteth for the manifestation of the sons of God.,True
48004010,Galatians,4,10,"Ye observe days, and months, and times, and years.",True
46001023,1 Corinthians,1,23,"But we preach Christ crucified, unto the Jews a stumblingblock, and unto the Greeks foolishness;",True
45010015,Romans,10,15,"And how shall they preach, except they be sent? as it is written, How beautiful are the feet of them that preach the gospel of peace, and bring glad tidings of good things!",True
46003023,1 Corinthians,3,23,And ye are Christ's; and Christ is God's.,True
46010022,1 Corinthians,10,22,Do we provoke the Lord to jealousy? are we stronger than he?,True
46012001,1 Corinthians,12,1,"Now concerning spiritual gifts, brethren, I would not have you ignorant.",True
46006009,1 Corinthians,6,9,"Know ye not that the unrighteous shall not inherit the kingdom of God? Be not deceived: neither fornicators, nor idolaters, nor adulterers, nor effeminate, nor abusers of themselves with mankind,",True
45004010,Romans,4,10,"How was it then reckoned? when he was in circumcision, or in uncircumcision? Not in circumcision, but in uncircumcision.",True
48001021,Galatians,1,21,Afterwards I came into the regions of Syria and Cilicia;,True
47003007,2 Corinthians,3,7,"But if the ministration of death, written and engraven in stones, was glorious, so that the children of Israel could not stedfastly behold the face of Moses for the glory of his countenance; which glory was to be done away:",True
45003011,Romans,3,11,"There is none that understandeth, there is none that seeketh after God.",True
52005014,1 Thessalonians,5,14,"Now we exhort you, brethren, warn them that are unruly, comfort the feebleminded, support the weak, be patient toward all men.",True
50001009,Philippians,1,9,"And this I pray, that your love may abound yet more and more in knowledge and in all judgment;",True
45007013,Romans,7,13,"Was then that which is good made death unto me? God forbid. But sin, that it might appear sin, working death in me by that which is good; that sin by the commandment might become exceeding sinful.",True
47007008,2 Corinthians,7,8,"For though I made you sorry with a letter, I do not repent, though I did repent: for I perceive that the same epistle hath made you sorry, though it were but for a season.",True
48002011,Galatians,2,11,"But when Peter was come to Antioch, I withstood him to the face, because he was to be blamed.",True
45016013,Romans,16,13,"Salute Rufus chosen in the Lord, and his mother and mine.",True
48005011,Galatians,5,11,"And I, brethren, if I yet preach circumcision, why do I yet suffer persecution? then is the offence of the cross ceased.",True
46010004,1 Corinthians,10,4,And did all drink the same spiritual drink: for they drank of that spiritual Rock that followed them: and that Rock was Christ.,True
45010011,Romans,10,11,"For the scripture saith, Whosoever believeth on him shall not be ashamed.",True
50002016,Philippians,2,16,"Holding forth the word of life; that I may rejoice in the day of Christ, that I have not run in vain, neither laboured in vain.",True
52004015,1 Thessalonians,4,15,"For this we say unto you by the word of the Lord, that we which are alive and remain unto the coming of the Lord shall not prevent them which are asleep.",True
45009032,Romans,9,32,"Wherefore? Because they sought it not by faith, but as it were by the works of the law. For they stumbled at that stumblingstone;",True
45010002,Romans,10,2,"For I bear them record that they have a zeal of God, but not according to knowledge.",True
46014029,1 Corinthians,14,29,"Let the prophets speak two or three, and let the other judge.",True
45015015,Romans,15,15,"Nevertheless, brethren, I have written the more boldly unto you in some sort, as putting you in mind, because of the grace that is given to me of God,",True
45011027,Romans,11,27,"For this is my covenant unto them, when I shall take away their sins.",True
45001015,Romans,1,15,"So, as much as in me is, I am ready to preach the gospel to you that are at Rome also.",True
45011033,Romans,11,33,"O the depth of the riches both of the wisdom and knowledge of God! how unsearchable are his judgments, and his ways past finding out!",True
46015009,1 Corinthians,15,9,"For I am the least of the apostles, that am not meet to be called an apostle, because I persecuted the church of God.",True
46004010,1 Corinthians,4,10,"We are fools for Christ's sake, but ye are wise in Christ; we are weak, but ye are strong; ye are honourable, but we are despised.",True
45006020,Romans,6,20,"For when ye were the servants of sin, ye were free from righteousness.",True
