id,book,chapter,verse,text,authentic
45003010,Romans,3,10,"As it is written, There is none righteous, no, not one:",True
46015017,1 Corinthians,15,17,"And if Christ be not raised, your faith is vain; ye are yet in your sins.",True
45010012,Romans,10,12,For there is no difference between the Jew and the Greek: for the same Lord over all is rich unto all that call upon him.,True
45003025,Romans,3,25,"Whom God hath set forth to be a propitiation through faith in his blood, to declare his righteousness for the remission of sins that are past, through the forbearance of God;",True
48004004,Galatians,4,4,"But when the fulness of the time was come, God sent forth his Son, made of a woman, made under the law,",True
47010016,2 Corinthians,10,16,"To preach the gospel in the regions beyond you, and not to boast in another man's line of things made ready to our hand.",True
46013003,1 Corinthians,13,3,"And though I bestow all my goods to feed the poor, and though I give my body to be burned, and have not charity, it profiteth me nothing.",True
45008012,Romans,8,12,"Therefore, brethren, we are debtors, not to the flesh, to live after the flesh.",True
45004012,Romans,4,12,"And the father of circumcision to them who are not of the circumcision only, but who also walk in the steps of that faith of our father Abraham, which he had being yet uncircumcised.",True
47007010,2 Corinthians,7,10,For godly sorrow worketh repentance to salvation not to be repented of: but the sorrow of the world worketh death.,True
45011015,Romans,11,15,"For if the casting away of them be the reconciling of the world, what shall the receiving of them be, but life from the dead?",True
45002019,Romans,2,19,"And art confident that thou thyself art a guide of the blind, a light of them which are in darkness,",True
47010002,2 Corinthians,10,2,"But I beseech you, that I may not be bold when I am present with that confidence, wherewith I think to be bold against some, which think of us as if we walked according to the flesh.",True
45007010,Romans,7,10,"And the commandment, which was ordained to life, I found to be unto death.",True
45001017,Romans,1,17,"For therein is the righteousness of God revealed from faith to faith: as it is written, The just shall live by faith.",True
45010006,Romans,10,6,"But the righteousness which is of faith speaketh on this wise, Say not in thine heart, Who shall ascend into heaven? (that is, to bring Christ down from above:)",True
45008036,Romans,8,36,"As it is written, For thy sake we are killed all the day long; we are accounted as sheep for the slaughter.",True
50002028,Philippians,2,28,"I sent him therefore the more carefully, that, when ye see him again, ye may rejoice, and that I may be the less sorrowful.",True
45015002,Romans,15,2,Let every one of us please his neighbour for his good to edification.,True
46013009,1 Corinthians,13,9,"For we know in part, and we prophesy in part.",True
46008004,1 Corinthians,8,4,"As concerning therefore the eating of those things that are offered in sacrifice unto idols, we know that an idol is nothing in the world, and that there is none other God but one.",True
48004019,Galatians,4,19,"My little children, of whom I travail in birth again until Christ be formed in you,",True
45004008,Romans,4,8,Blessed is the man to whom the Lord will not impute sin.,True
45008003,Romans,8,3,"For what the law could not do, in that it was weak through the flesh, God sending his own Son in the likeness of sinful flesh, and for sin, condemned sin in the flesh:",True
48003012,Galatians,3,12,"And the law is not of faith: but, The man that doeth them shall live in them.",True
48001022,Galatians,1,22,And was unknown by face unto the churches of Judaea which were in Christ:,True
45008009,Romans,8,9,"But ye are not in the flesh, but in the Spirit, if so be that the Spirit of God dwell in you. Now if any man have not the Spirit of Christ, he is none of his.",True
46015026,1 Corinthians,15,26,The last enemy that shall be destroyed is death.,True
48001009,Galatians,1,9,"As we said before, so say I now again, if any man preach any other gospel unto you than that ye have received, let him be accursed.",True
46002008,1 Corinthians,2,8,"Which none of the princes of this world knew: for had they known it, they would not have crucified the Lord of glory.",True
47007002,2 Corinthians,7,2,"Receive us; we have wronged no man, we have corrupted no man, we have defrauded no man.",True
46011006,1 Corinthians,11,6,"For if the woman be not covered, let her also be shorn: but if it be a shame for a woman to be shorn or shaven, let her be covered.",True
47002017,2 Corinthians,2,17,"For we are not as many, which corrupt the word of God: but as of sincerity, but as of God, in the sight of God speak we in Christ.",True
47010003,2 Corinthians,10,3,"For though we walk in the flesh, we do not war after the flesh:",True
47008008,2 Corinthians,8,8,"I speak not by commandment, but by occasion of the forwardness of others, and to prove the sincerity of your love.",True
45009023,Romans,9,23,"And that he might make known the riches of his glory on the vessels of mercy, which he had afore prepared unto glory,",True
45009024,Romans,9,24,"Even us, whom he hath called, not of the Jews only, but also of the Gentiles?",True
46015003,1 Corinthians,15,3,"For I delivered unto you first of all that which I also received, how that Christ died for our sins according to the scriptures;",True
50001026,Philippians,1,26,That your rejoicing may be more abundant in Jesus Christ for me by my coming to you again.,True
48006001,Galatians,6,1,"Brethren, if a man be overtaken in a fault, ye which are spiritual, restore such an one in the spirit of meekness; considering thyself, lest thou also be tempted.",True
46007031,1 Corinthians,7,31,"And they that use this world, as not abusing it: for the fashion of this world passeth away.",True
