id,book,chapter,verse,text,authentic
62002009,1 John,2,9,"He that saith he is in the light, and hateth his brother, is in darkness even until now.",False
62005008,1 John,5,8,"And there are three that bear witness in earth, the Spirit, and the water, and the blood: and these three agree in one.",False
62005009,1 John,5,9,"If we receive the witness of men, the witness of God is greater: for this is the witness of God which he hath testified of his Son.",False
60001012,1 Peter,1,12,"Unto whom it was revealed, that not unto themselves, but unto us they did minister the things, which are now reported unto you by them that have preached the gospel unto you with the Holy Ghost sent down from heaven; which things the angels desire to look into.",False
61002003,2 Peter,2,3,"And through covetousness shall they with feigned words make merchandise of you: whose judgment now of a long time lingereth not, and their damnation slumbereth not.",False
60001010,1 Peter,1,10,"Of which salvation the prophets have enquired and searched diligently, who prophesied of the grace that should come unto you:",False
59001005,James,1,5,"If any of you lack wisdom, let him ask of God, that giveth to all men liberally, and upbraideth not; and it shall be given him.",False
62005002,1 John,5,2,"By this we know that we love the children of God, when we love God, and keep his commandments.",False
59005014,James,5,14,"Is any sick among you? let him call for the elders of the church; and let them pray over him, anointing him with oil in the name of the Lord:",False
61003015,2 Peter,3,15,And account that the longsuffering of our Lord is salvation; even as our beloved brother Paul also according to the wisdom given unto him hath written unto you;,False
61001020,2 Peter,1,20,"Knowing this first, that no prophecy of the scripture is of any private interpretation.",False
60003004,1 Peter,3,4,"But let it be the hidden man of the heart, in that which is not corruptible, even the ornament of a meek and quiet spirit, which is in the sight of God of great price.",False
63001013,2 John,1,13,The children of thy elect sister greet thee. Amen.,False
61002016,2 Peter,2,16,But was rebuked for his iniquity: the dumb ass speaking with man's voice forbad the madness of the prophet.,False
62002012,1 John,2,12,"I write unto you, little children, because your sins are forgiven you for his name's sake.",False
61003005,2 Peter,3,5,"For this they willingly are ignorant of, that by the word of God the heavens were of old, and the earth standing out of the water and in the water:",False
61002009,2 Peter,2,9,"The Lord knoweth how to deliver the godly out of temptations, and to reserve the unjust unto the day of judgment to be punished:",False
61002014,2 Peter,2,14,"Having eyes full of adultery, and that cannot cease from sin; beguiling unstable souls: an heart they have exercised with covetous practices; cursed children:",False
61001016,2 Peter,1,16,"For we have not followed cunningly devised fables, when we made known unto you the power and coming of our Lord Jesus Christ, but were eyewitnesses of his majesty.",False
62002006,1 John,2,6,"He that saith he abideth in him ought himself also so to walk, even as he walked.",False
59001006,James,1,6,"But let him ask in faith, nothing wavering. For he that wavereth is like a wave of the sea driven with the wind and tossed.",False
59002021,James,2,21,"Was not Abraham our father justified by works, when he had offered Isaac his son upon the altar?",False
59005020,James,5,20,"Let him know, that he which converteth the sinner from the error of his way shall save a soul from death, and shall hide a multitude of sins.",False
62002002,1 John,2,2,"And he is the propitiation for our sins: and not for our's only, but also for the sins of the whole world.",False
62004008,1 John,4,8,He that loveth not knoweth not God; for God is love.,False
59001018,James,1,18,"Of his own will begat he us with the word of truth, that we should be a kind of firstfruits of his creatures.",False
60003008,1 Peter,3,8,"Finally, be ye all of one mind, having compassion one of another, love as brethren, be pitiful, be courteous:",False
60005006,1 Peter,5,6,"Humble yourselves therefore under the mighty hand of God, that he may exalt you in due time:",False
